station,time,2min avg wind dir (deg),2min avg wind speed (kts),5sec avg wind dir (deg),5sec avg wind speed (kts),Precipitation,Amount (1/100 inch),Pressure 1 (inches Hg),Pressure 2 (inches Hg),Pressure 3 (inches Hg),Dry bulb temp,Dew point temp
03131KMYF,2021-01-01T08:00:00Z,85,1,80,2,NP,.00,29.495,29.495,29.495,46,41
03131KMYF,2021-01-01T08:01:00Z,89,1,81,2,NP,.00,29.495,29.495,29.495,47,41
03131KMYF,2021-01-01T08:02:00Z,84,2,75,2,NP,.00,29.495,29.495,29.496,47,41
03131KMYF,2021-01-01T08:03:00Z,91,1,87,1,NP,.00,29.495,29.495,29.496,47,41
03131KMYF,2021-01-01T08:04:00Z,100,1,115,1,NP,.00,29.495,29.495,29.496,47,41
03131KMYF,2021-01-01T08:05:00Z,105,1,103,2,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:06:00Z,106,2,92,3,NP,.00,29.497,29.497,29.498,47,42
03131KMYF,2021-01-01T08:07:00Z,90,3,76,5,NP,.00,29.498,29.498,29.499,47,41
03131KMYF,2021-01-01T08:08:00Z,77,4,73,5,NP,.00,29.497,29.497,29.498,46,41
03131KMYF,2021-01-01T08:09:00Z,81,4,77,4,NP,.00,29.495,29.495,29.496,46,40
03131KMYF,2021-01-01T08:10:00Z,98,3,107,4,NP,.00,29.494,29.494,29.495,47,41
03131KMYF,2021-01-01T08:11:00Z,112,3,113,4,?1,.00,29.494,29.494,29.495,46,41
03131KMYF,2021-01-01T08:12:00Z,106,4,93,5,?1,.00,29.495,29.495,29.496,45,41
03131KMYF,2021-01-01T08:13:00Z,85,5,73,7,?1,.00,29.495,29.495,29.496,46,41
03131KMYF,2021-01-01T08:14:00Z,77,5,76,6,?1,.00,29.494,29.494,29.495,45,40
03131KMYF,2021-01-01T08:15:00Z,85,3,87,3,?1,.00,29.493,29.493,29.494,46,40
03131KMYF,2021-01-01T08:16:00Z,114,1,94,1,NP,.00,29.493,29.493,29.494,46,41
03131KMYF,2021-01-01T08:17:00Z,206,1,244,3,NP,.00,29.494,29.494,29.495,45,40
03131KMYF,2021-01-01T08:18:00Z,234,2,249,3,?1,.00,29.495,29.495,29.496,45,40
03131KMYF,2021-01-01T08:19:00Z,173,1,193,1,?1,.00,29.495,29.495,29.496,46,41
03131KMYF,2021-01-01T08:20:00Z,141,1,153,1,?1,.00,29.494,29.494,29.495,46,41
03131KMYF,2021-01-01T08:21:00Z,207,1,287,1,NP,.00,29.495,29.495,29.495,47,41
03131KMYF,2021-01-01T08:22:00Z,255,0,263,1,NP,.00,29.495,29.495,29.496,47,41
03131KMYF,2021-01-01T08:23:00Z,196,0,35,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:24:00Z,113,0,115,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:25:00Z,110,1,137,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:26:00Z,133,1,145,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:27:00Z,129,1,142,1,NP,.00,29.497,29.497,29.498,47,42
03131KMYF,2021-01-01T08:28:00Z,114,1,84,1,NP,.00,29.497,29.497,29.497,47,42
03131KMYF,2021-01-01T08:29:00Z,167,0,300,1,NP,.00,29.497,29.497,29.498,47,42
03131KMYF,2021-01-01T08:30:00Z,290,0,351,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:31:00Z,356,1,6,1,NP,.00,29.496,29.496,29.497,48,41
03131KMYF,2021-01-01T08:32:00Z,333,1,274,1,NP,.00,29.495,29.495,29.496,48,42
03131KMYF,2021-01-01T08:33:00Z,288,2,269,3,NP,.00,29.495,29.495,29.496,48,41
03131KMYF,2021-01-01T08:34:00Z,269,2,269,3,NP,.00,29.495,29.495,29.496,48,41
03131KMYF,2021-01-01T08:35:00Z,269,2,269,2,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:36:00Z,288,1,289,1,?1,.00,29.497,29.497,29.497,47,41
03131KMYF,2021-01-01T08:37:00Z,314,1,334,1,NP,.00,29.497,29.497,29.497,47,42
03131KMYF,2021-01-01T08:38:00Z,311,0,10,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:39:00Z,274,0,277,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:40:00Z,275,0,293,1,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:41:00Z,294,1,290,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:42:00Z,286,1,269,1,NP,.00,29.498,29.498,29.499,47,41
03131KMYF,2021-01-01T08:43:00Z,271,1,270,1,NP,.00,29.498,29.498,29.499,47,42
03131KMYF,2021-01-01T08:44:00Z,251,1,252,1,NP,.00,29.498,29.498,29.499,47,42
03131KMYF,2021-01-01T08:45:00Z,228,1,221,1,NP,.00,29.497,29.498,29.498,47,42
03131KMYF,2021-01-01T08:46:00Z,228,1,257,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:47:00Z,259,1,287,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:48:00Z,287,1,324,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:49:00Z,318,1,346,1,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:50:00Z,348,2,358,2,NP,.00,29.497,29.497,29.498,47,41
03131KMYF,2021-01-01T08:51:00Z,1,2,4,2,NP,.00,29.496,29.496,29.497,47,41
03131KMYF,2021-01-01T08:52:00Z,10,2,14,2,NP,.00,29.495,29.495,29.496,46,41
03131KMYF,2021-01-01T08:53:00Z,15,2,17,2,NP,.00,29.495,29.495,29.496,46,41
03131KMYF,2021-01-01T08:54:00Z,10,2,7,2,NP,.00,29.495,29.495,29.495,45,41
03131KMYF,2021-01-01T08:55:00Z,3,1,3,2,NP,.00,29.495,29.495,29.496,44,40
03131KMYF,2021-01-01T08:56:00Z,358,1,358,1,NP,.00,29.495,29.495,29.496,45,40
03131KMYF,2021-01-01T08:57:00Z,355,0,357,1,NP,.00,29.495,29.495,29.496,45,40
03131KMYF,2021-01-01T08:58:00Z,9,0,32,1,NP,.00,29.495,29.495,29.496,45,40
03131KMYF,2021-01-01T08:59:00Z,25,0,29,0,NP,.00,29.495,29.495,29.496,45,40
03131KMYF,2021-01-01T09:00:00Z,56,0,81,1,NP,.00,29.494,29.494,29.495,45,40
03131KMYF,2021-01-01T09:01:00Z,149,0,224,1,NP,.00,29.494,29.494,29.495,45,40
03131KMYF,2021-01-01T09:02:00Z,211,1,202,2,NP,.00,29.494,29.494,29.495,45,40
