
Date/Time Start:,"Wednesday, May 18, 2022  10:08:14 AM"
Title:,40 PSI run
Comments:,""
Instrument Label:,"TSI Model 3090,Serial Number 70508011, Firmware Version MCU:3.15,DSP:3.02"
Run Length:,3 min 0 s
Averaging Interval [s]:,60.0
Instrument Matrix:,SOOT

Instrument Status:,"Column Heater OFF,"
Instrument Errors:,"No Errors Detected"

Export Conditions:, Standard (US-EPA)
Standard Temperature [蚓]:, 20.000
Standard Pressure [kPa]:, 101.325
Additional Dilution Factor:, 1.000

Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,
Density vector [g/scm設,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,

dN/dlogDp [#/scm設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,,
"Elapsed [s]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0,10339.3,199494,537423,1.15645e+006,2.05657e+006,2.82299e+006,3.4557e+006,4.03899e+006,4.57286e+006,4.89056e+006,4.9921e+006,4.91387e+006,4.6559e+006,4.38007e+006,4.08642e+006,3.61737e+006,2.97296e+006,2.34621e+006,1.73713e+006,1.29104e+006,1.00792e+006,801672,672280,534042,386958,256964,144060,73219.1,44441.4,26066.5,18094.5,,
