
Date/Time Start:,"Wednesday, May 18, 2022  10:17:40 AM"
Title:,40 PSI run
Comments:,""
Instrument Label:,"TSI Model 3090,Serial Number 70508011, Firmware Version MCU:3.15,DSP:3.02"
Run Length:,3 min 0 s
Averaging Interval [s]:,60.0
Instrument Matrix:,SOOT

Instrument Status:,"Column Heater OFF,"
Instrument Errors:,"No Errors Detected"

Export Conditions:, Standard (US-EPA)
Standard Temperature [°C]:, 20.000
Standard Pressure [kPa]:, 101.325
Additional Dilution Factor:, 1.000

Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,
Density vector [g/scm³],1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,

dN/dlogDp [#/scm³],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,,
"Elapsed [s]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0,0,126910,430471,1.09329e+006,2.11537e+006,2.92891e+006,3.53392e+006,4.08264e+006,4.57506e+006,4.87867e+006,4.9935e+006,4.93001e+006,4.68819e+006,4.42604e+006,4.14355e+006,3.682e+006,3.04138e+006,2.41095e+006,1.79069e+006,1.33328e+006,1.03872e+006,823176,686657,542226,389885,258153,147029,76738,47280.6,28260.1,19676.3,,
120.0,0,24269.1,247927,658396,1.42633e+006,2.55173e+006,3.45459e+006,4.1349e+006,4.74272e+006,5.27805e+006,5.59998e+006,5.7085e+006,5.58634e+006,5.23349e+006,4.83845e+006,4.4012e+006,3.76729e+006,2.93673e+006,2.1842e+006,1.5097e+006,1.03807e+006,769299,580706,472289,368596,269628,180456,101078,50711,29353.1,15992.1,10627.8,,
180.0,0,28026.2,228103,592002,1.37308e+006,2.57132e+006,3.56005e+006,4.33924e+006,5.04773e+006,5.68549e+006,6.06745e+006,6.19361e+006,6.04924e+006,5.63435e+006,5.17207e+006,4.6624e+006,3.95609e+006,3.05313e+006,2.24889e+006,1.54336e+006,1.0503e+006,769712,570457,452534,345164,248348,165312,96056.4,50809.4,29570.8,16048.7,10243.1,,
