
Date/Time Start:,"Wednesday, May 18, 2022  10:23:07 AM"
Title:,40 PSI run
Comments:,""
Instrument Label:,"TSI Model 3090,Serial Number 71525048, Firmware Version MCU:3.15,DSP:3.02"
Run Length:,3 min 0 s
Averaging Interval [s]:,60.0
Instrument Matrix:,DEFAULT

Instrument Status:,"Column Heater OFF,"
Instrument Errors:,"No Errors Detected"

Export Conditions:, Standard (US-EPA)
Standard Temperature [°C]:, 20.000
Standard Pressure [kPa]:, 101.325
Additional Dilution Factor:, 1.000

Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,
Density vector [g/scm³],1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,

dN/dlogDp [#/scm³],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Size [nm]:,6.04,6.98,8.06,9.31, 10.8, 12.4, 14.3, 16.5, 19.1, 22.1, 25.5, 29.4, 34.0, 39.2, 45.3, 52.3, 60.4, 69.8, 80.6, 93.1,107.5,124.1,143.3,165.5,191.1,220.7,254.8,294.3,339.8,392.4,453.2,523.3,,
"Elapsed [s]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,0,0,380206,1.30246e+006,1.86498e+006,2.06775e+006,2.43945e+006,2.9801e+006,3.24478e+006,3.23349e+006,3.59488e+006,4.32893e+006,4.63447e+006,4.51151e+006,4.3201e+006,4.06021e+006,3.57906e+006,2.87666e+006,2.169e+006,1.45608e+006,917671,553769,306553,176024,89077.9,45715.5,18249.6,6680.11,0,0,0,0,,
120.0,0,0,272082,982961,1.45841e+006,1.69843e+006,2.03348e+006,2.46359e+006,2.68426e+006,2.69551e+006,3.10853e+006,3.92335e+006,4.39498e+006,4.52343e+006,4.58177e+006,4.57002e+006,4.33066e+006,3.86368e+006,3.17849e+006,2.27508e+006,1.53961e+006,972078,571439,337689,177396,90561.5,35808.3,13136.6,0,0,0,0,,
180.0,0,0,188856,731591,1.11902e+006,1.35114e+006,1.69353e+006,2.14619e+006,2.45518e+006,2.6205e+006,3.21281e+006,4.23209e+006,4.87452e+006,5.14011e+006,5.29157e+006,5.3289e+006,5.09116e+006,4.57834e+006,3.79934e+006,2.75414e+006,1.8907e+006,1.20901e+006,721754,428917,226873,115620,45598.8,16809,3.98106,0,0,0,,
