Datetime,Visibility Extinction Coefficient,Day or Night,2min avg wind dir,2min avg wind speed (kts),5min avg wind dir,5min avg wind speed
2021-03-01T08:00:00Z,0.152,N,110,2,102,2
2021-03-01T08:01:00Z,0.133,N,99,2,92,2
2021-03-01T08:02:00Z,0.123,N,97,2,100,2
2021-03-01T08:03:00Z,0.117,N,100,2,98,2
2021-03-01T08:04:00Z,0.115,N,105,2,110,2
2021-03-01T08:05:00Z,0.115,N,110,2,117,2
2021-03-01T08:06:00Z,0.112,N,114,2,115,2
2021-03-01T08:07:00Z,0.112,N,110,2,106,2
2021-03-01T08:08:00Z,0.11,N,104,1,101,2
2021-03-01T08:09:00Z,0.108,N,104,1,105,2
2021-03-01T08:10:00Z,0.105,N,111,1,115,1
2021-03-01T08:11:00Z,0.105,N,115,1,114,1
2021-03-01T08:12:00Z,0.103,N,114,1,116,1
2021-03-01T08:13:00Z,0.104,N,120,1,126,2
2021-03-01T08:14:00Z,0.103,N,124,2,122,2
2021-03-01T08:15:00Z,0.104,N,125,2,127,2
2021-03-01T08:16:00Z,0.106,N,126,2,128,2
2021-03-01T08:17:00Z,0.108,N,128,2,127,2
2021-03-01T08:18:00Z,0.11,N,131,2,134,3
2021-03-01T08:19:00Z,0.117,N,133,2,136,2
2021-03-01T08:20:00Z,0.134,N,134,2,135,2
2021-03-01T08:21:00Z,0.144,N,133,2,126,2
2021-03-01T08:22:00Z,0.159,N,127,2,123,3
2021-03-01T08:23:00Z,0.175,N,123,3,125,3
2021-03-01T08:24:00Z,0.191,N,125,3,129,3
2021-03-01T08:25:00Z,0.199,N,129,3,132,3
2021-03-01T08:26:00Z,0.205,N,130,3,130,3
2021-03-01T08:27:00Z,0.209,N,127,3,124,3
2021-03-01T08:28:00Z,0.203,N,126,3,126,3
2021-03-01T08:29:00Z,0.188,N,123,3,123,3
2021-03-01T08:30:00Z,0.165,N,115,2,115,3
2021-03-01T08:31:00Z,0.165,N,109,2,105,2
2021-03-01T08:32:00Z,0.158,N,114,2,123,2
2021-03-01T08:33:00Z,0.154,N,123,1,128,1
2021-03-01T08:34:00Z,0.152,N,121,1,123,1
2021-03-01T08:35:00Z,0.148,N,108,1,88,1
2021-03-01T08:36:00Z,0.146,N,94,1,92,1
2021-03-01T08:37:00Z,0.144,N,94,1,106,1
2021-03-01T08:38:00Z,0.139,N,103,1,117,2
2021-03-01T08:39:00Z,0.139,N,109,1,107,2
2021-03-01T08:40:00Z,0.139,N,108,2,101,2
2021-03-01T08:41:00Z,0.142,N,105,2,100,2
2021-03-01T08:42:00Z,0.136,N,99,2,103,2
2021-03-01T08:43:00Z,0.134,N,94,2,89,2
2021-03-01T08:44:00Z,0.13,N,94,2,93,3
2021-03-01T08:45:00Z,0.129,N,91,2,80,3
2021-03-01T08:46:00Z,0.129,N,80,2,71,2
2021-03-01T08:47:00Z,0.134,N,68,2,64,2
2021-03-01T08:48:00Z,0.138,N,57,1,45,2
2021-03-01T08:49:00Z,0.142,N,26,1,7,2
2021-03-01T08:50:00Z,0.141,N,10,2,2,2
2021-03-01T08:51:00Z,0.134,N,25,2,36,2
2021-03-01T08:52:00Z,0.128,N,34,2,34,3
2021-03-01T08:53:00Z,0.125,N,36,2,38,2
2021-03-01T08:54:00Z,0.125,N,25,2,16,2
2021-03-01T08:55:00Z,0.129,N,11,2,0,3
2021-03-01T08:56:00Z,0.125,N,16,2,21,3
2021-03-01T08:57:00Z,0.123,N,22,2,18,3
2021-03-01T08:58:00Z,0.122,N,17,3,14,3
2021-03-01T08:59:00Z,0.119,N,14,3,17,4
2021-03-01T09:00:00Z,0.117,N,13,4,12,4
2021-03-01T09:01:00Z,0.114,N,7,4,0,4
2021-03-01T09:02:00Z,0.113,N,2,4,2,4
2021-03-01T09:03:00Z,0.111,N,1,4,3,4
2021-03-01T09:04:00Z,0.107,N,359,3,359,4
2021-03-01T09:05:00Z,0.106,N,359,3,358,4
2021-03-01T09:06:00Z,0.101,N,1,3,2,3
2021-03-01T09:07:00Z,0.101,N,7,3,11,3
2021-03-01T09:08:00Z,0.101,N,10,3,8,3
2021-03-01T09:09:00Z,0.102,N,10,3,9,3
2021-03-01T09:10:00Z,0.104,N,6,3,359,4
2021-03-01T09:11:00Z,0.103,N,360,3,356,4
2021-03-01T09:12:00Z,0.103,N,1,3,0,4
2021-03-01T09:13:00Z,0.104,N,3,3,358,3
2021-03-01T09:14:00Z,0.102,N,359,3,353,3
2021-03-01T09:15:00Z,0.102,N,354,3,353,3
2021-03-01T09:16:00Z,0.102,N,353,2,357,2
2021-03-01T09:17:00Z,0.101,N,351,2,344,2
2021-03-01T09:18:00Z,0.102,N,344,2,339,3
2021-03-01T09:19:00Z,0.102,N,340,2,339,3
2021-03-01T09:20:00Z,0.101,N,341,2,344,2
2021-03-01T09:21:00Z,0.098,N,343,2,343,3
2021-03-01T09:22:00Z,0.099,N,343,2,342,3
2021-03-01T09:23:00Z,0.1,N,343,3,342,4
2021-03-01T09:24:00Z,0.098,N,344,4,345,5
2021-03-01T09:25:00Z,0.096,N,342,4,344,5
2021-03-01T09:26:00Z,0.097,N,343,5,347,5
2021-03-01T09:27:00Z,0.096,N,346,5,347,5
2021-03-01T09:28:00Z,0.095,N,347,5,347,6
2021-03-01T09:29:00Z,0.095,N,346,5,346,5
2021-03-01T09:30:00Z,0.096,N,345,5,344,5
2021-03-01T09:31:00Z,0.093,N,344,5,341,5
2021-03-01T09:32:00Z,0.093,N,341,5,339,5
2021-03-01T09:33:00Z,0.092,N,337,5,335,5
2021-03-01T09:34:00Z,0.091,N,335,5,332,5
2021-03-01T09:35:00Z,0.092,N,334,5,334,5
2021-03-01T09:36:00Z,0.092,N,334,5,335,5
2021-03-01T09:37:00Z,0.092,N,336,4,335,5
2021-03-01T09:38:00Z,0.093,N,338,4,337,4
2021-03-01T09:39:00Z,0.093,N,339,3,339,4
2021-03-01T09:40:00Z,0.092,N,343,3,344,4
2021-03-01T09:41:00Z,0.095,N,346,4,343,4
2021-03-01T09:42:00Z,0.094,N,352,4,1,4
2021-03-01T09:43:00Z,0.094,N,1,4,7,4
2021-03-01T09:44:00Z,0.093,N,9,4,8,4
2021-03-01T09:45:00Z,0.094,N,16,4,18,4
2021-03-01T09:46:00Z,0.093,N,15,4,10,4
2021-03-01T09:47:00Z,0.094,N,10,4,12,4
2021-03-01T09:48:00Z,0.093,N,9,3,7,3
2021-03-01T09:49:00Z,0.094,N,11,3,9,3
2021-03-01T09:50:00Z,0.095,N,10,2,9,3
2021-03-01T09:51:00Z,0.093,N,11,2,13,3
2021-03-01T09:52:00Z,0.094,N,17,2,19,2
2021-03-01T09:53:00Z,0.093,N,20,2,22,3
2021-03-01T09:54:00Z,0.093,N,19,2,15,3
2021-03-01T09:55:00Z,0.093,N,15,2,7,3
2021-03-01T09:56:00Z,0.092,N,9,2,2,3
2021-03-01T09:57:00Z,0.092,N,1,3,357,3
2021-03-01T09:58:00Z,0.091,N,358,3,0,3
2021-03-01T09:59:00Z,0.09,N,358,3,358,3
2021-03-01T10:00:00Z,0.089,N,356,3,356,3
2021-03-01T10:01:00Z,0.088,N,353,3,351,3
2021-03-01T10:02:00Z,0.091,N,346,3,342,3
2021-03-01T10:03:00Z,0.091,N,341,3,339,3
2021-03-01T10:04:00Z,0.089,N,341,3,342,3
2021-03-01T10:05:00Z,0.09,N,343,3,347,4
2021-03-01T10:06:00Z,0.088,N,345,3,344,3
2021-03-01T10:07:00Z,0.087,N,343,3,344,4
2021-03-01T10:08:00Z,0.086,N,344,3,345,4
2021-03-01T10:09:00Z,0.087,N,346,4,348,4
2021-03-01T10:10:00Z,0.085,N,348,4,348,4
2021-03-01T10:11:00Z,0.086,N,348,4,347,4
2021-03-01T10:12:00Z,0.085,N,348,4,350,4
2021-03-01T10:13:00Z,0.083,N,350,4,352,5
2021-03-01T10:14:00Z,0.084,N,351,5,351,5
2021-03-01T10:15:00Z,0.082,N,350,5,349,6
2021-03-01T10:16:00Z,0.083,N,350,5,352,6
2021-03-01T10:17:00Z,0.083,N,350,6,349,6
2021-03-01T10:18:00Z,0.08,N,350,6,349,6
2021-03-01T10:19:00Z,0.079,N,353,6,352,7
2021-03-01T10:20:00Z,0.078,N,354,6,352,7
2021-03-01T10:21:00Z,0.08,N,357,6,357,6
2021-03-01T10:22:00Z,0.082,N,1,5,4,5
2021-03-01T10:23:00Z,0.081,N,3,5,5,5
2021-03-01T10:24:00Z,0.083,N,3,5,5,6
2021-03-01T10:25:00Z,0.082,N,2,5,2,6
2021-03-01T10:26:00Z,0.082,N,359,5,356,5
2021-03-01T10:27:00Z,0.079,N,355,4,354,5
2021-03-01T10:28:00Z,0.078,N,348,3,350,4
2021-03-01T10:29:00Z,0.079,N,341,3,346,4
2021-03-01T10:30:00Z,0.078,N,343,3,346,4
2021-03-01T10:31:00Z,0.077,N,345,4,340,4
2021-03-01T10:32:00Z,0.077,N,341,4,337,5
2021-03-01T10:33:00Z,0.079,N,341,4,340,5
2021-03-01T10:34:00Z,0.08,N,342,4,342,5
2021-03-01T10:35:00Z,0.079,N,344,4,345,5
2021-03-01T10:36:00Z,0.079,N,345,4,346,4
2021-03-01T10:37:00Z,0.081,N,345,4,346,4
2021-03-01T10:38:00Z,0.081,N,347,4,350,4
2021-03-01T10:39:00Z,0.081,N,351,4,351,4
2021-03-01T10:40:00Z,0.081,N,357,4,0,4
2021-03-01T10:41:00Z,0.078,N,5,4,7,4
2021-03-01T10:42:00Z,0.079,N,10,4,12,4
2021-03-01T10:43:00Z,0.077,N,14,4,17,4
2021-03-01T10:44:00Z,0.076,N,18,4,23,4
2021-03-01T10:45:00Z,0.076,N,24,4,26,5
2021-03-01T10:46:00Z,0.075,N,32,4,30,5
2021-03-01T10:47:00Z,0.076,N,33,4,29,5
2021-03-01T10:48:00Z,0.075,N,35,5,38,5
2021-03-01T10:49:00Z,0.075,N,38,5,36,5
2021-03-01T10:50:00Z,0.074,N,38,4,35,5
2021-03-01T10:51:00Z,0.073,N,43,4,40,4
2021-03-01T10:52:00Z,0.074,N,52,4,53,4
2021-03-01T10:53:00Z,0.076,N,57,3,52,4
2021-03-01T10:54:00Z,0.077,N,54,3,47,4
2021-03-01T10:55:00Z,0.08,N,47,4,39,4
2021-03-01T10:56:00Z,0.079,N,38,3,35,4
2021-03-01T10:57:00Z,0.079,N,34,3,34,3
2021-03-01T10:58:00Z,0.08,N,32,2,34,3
2021-03-01T10:59:00Z,0.081,N,17,2,352,3
2021-03-01T11:00:00Z,0.083,N,351,2,346,3
2021-03-01T11:01:00Z,0.077,N,337,2,333,2
2021-03-01T11:02:00Z,0.075,N,346,1,17,2
2021-03-01T11:03:00Z,0.075,N,2,2,9,2
2021-03-01T11:04:00Z,0.075,N,12,2,10,3
2021-03-01T11:05:00Z,0.075,N,23,3,30,4
2021-03-01T11:06:00Z,0.074,N,30,3,38,4
2021-03-01T11:07:00Z,0.074,N,25,3,27,3
2021-03-01T11:08:00Z,0.075,N,16,3,16,3
2021-03-01T11:09:00Z,0.076,N,8,3,356,3
2021-03-01T11:10:00Z,0.075,N,358,3,357,3
2021-03-01T11:11:00Z,0.075,N,352,3,351,3
2021-03-01T11:12:00Z,0.077,N,352,3,351,4
2021-03-01T11:13:00Z,0.075,N,357,3,5,4
2021-03-01T11:14:00Z,0.075,N,3,4,6,4
2021-03-01T11:15:00Z,0.074,N,6,4,7,4
2021-03-01T11:16:00Z,0.075,N,8,4,12,5
2021-03-01T11:17:00Z,0.075,N,11,4,11,5
2021-03-01T11:18:00Z,0.077,N,14,4,11,5
2021-03-01T11:19:00Z,0.075,N,14,4,11,5
2021-03-01T11:20:00Z,0.075,N,16,4,16,5
2021-03-01T11:21:00Z,0.077,N,22,4,17,4
2021-03-01T11:22:00Z,0.077,N,33,3,31,3
2021-03-01T11:23:00Z,0.077,N,42,3,42,3
2021-03-01T11:24:00Z,0.079,N,38,3,31,4
2021-03-01T11:25:00Z,0.077,N,32,3,31,4
2021-03-01T11:26:00Z,0.074,N,29,3,32,4
2021-03-01T11:27:00Z,0.076,N,22,3,13,4
2021-03-01T11:28:00Z,0.075,N,25,3,37,4
2021-03-01T11:29:00Z,0.075,N,37,3,38,4
2021-03-01T11:30:00Z,0.077,N,42,4,44,5
2021-03-01T11:31:00Z,0.076,N,41,4,33,5
2021-03-01T11:32:00Z,0.079,N,36,5,33,5
2021-03-01T11:33:00Z,0.075,N,34,5,32,5
2021-03-01T11:34:00Z,0.077,N,36,5,33,5
2021-03-01T11:35:00Z,0.078,N,34,4,34,5
2021-03-01T11:36:00Z,0.079,N,31,4,32,5
2021-03-01T11:37:00Z,0.082,N,33,5,38,5
2021-03-01T11:38:00Z,0.082,N,35,4,39,5
2021-03-01T11:39:00Z,0.081,N,29,4,32,4
2021-03-01T11:40:00Z,0.081,N,22,3,18,3
2021-03-01T11:41:00Z,0.081,N,18,2,19,3
2021-03-01T11:42:00Z,0.08,N,9,2,3,2
2021-03-01T11:43:00Z,0.078,N,5,2,9,4
2021-03-01T11:44:00Z,0.077,N,8,3,5,4
2021-03-01T11:45:00Z,0.075,N,12,3,14,4
2021-03-01T11:46:00Z,0.076,N,22,4,36,4
2021-03-01T11:47:00Z,0.076,N,39,4,53,4
2021-03-01T11:48:00Z,0.077,N,54,4,53,4
2021-03-01T11:49:00Z,0.078,N,63,4,63,4
