Sample Number,Time,Duration (s),SPL,Unit
1,93240.00000,0,76.1,dB
2,93241.00000,1,78.4,dB
3,93242.00000,2,81.1,dB
4,93243.00000,3,78.1,dB
5,93244.00000,4,80.8,dB
6,93245.00000,5,81.1,dB
7,93246.00000,6,77.3,dB
8,93247.00000,7,71.6,dB
9,93248.00000,8,67.3,dB
10,93249.00000,9,64.5,dB
11,93250.00000,10,64.8,dB
12,93251.00000,11,64.5,dB
13,93252.00000,12,65,dB
14,93253.00000,13,67.2,dB
15,93254.00000,14,61.4,dB
16,93255.00000,15,62,dB
17,93256.00000,16,62.7,dB
18,93257.00000,17,62.1,dB
19,93258.00000,18,58.3,dB
20,93259.00000,19,61.6,dB
21,93300.00000,20,58.2,dB
22,93301.00000,21,58.4,dB
23,93302.00000,22,58.2,dB
24,93303.00000,23,60.7,dB
25,93304.00000,24,58.3,dB
26,93305.00000,25,56.5,dB
27,93306.00000,26,54.5,dB
28,93307.00000,27,56.9,dB
29,93308.00000,28,56.5,dB
30,93309.00000,29,55.5,dB
31,93310.00000,30,55.6,dB
32,93311.00000,31,55.3,dB
33,93312.00000,32,54,dB
34,93313.00000,33,57.4,dB
35,93314.00000,34,63.5,dB
36,93315.00000,35,55.2,dB
37,93316.00000,36,55.5,dB
38,93317.00000,37,56.2,dB
39,93318.00000,38,55.1,dB
40,93319.00000,39,55.1,dB
41,93320.00000,40,59.8,dB
42,93321.00000,41,61.7,dB
43,93322.00000,42,61.9,dB
44,93323.00000,43,57.3,dB
45,93324.00000,44,56.2,dB
46,93325.00000,45,58.6,dB
47,93326.00000,46,55.9,dB
48,93327.00000,47,55.3,dB
49,93328.00000,48,57.3,dB
50,93329.00000,49,54.2,dB
51,93330.00000,50,54.8,dB
52,93331.00000,51,55.9,dB
53,93332.00000,52,54.7,dB
54,93333.00000,53,55.5,dB
55,93334.00000,54,56.8,dB
56,93335.00000,55,57.3,dB
57,93336.00000,56,56.4,dB
58,93337.00000,57,55.3,dB
59,93338.00000,58,55.2,dB
60,93339.00000,59,54.5,dB
61,93340.00000,60,54,dB
62,93341.00000,61,52.8,dB
63,93342.00000,62,54.2,dB
64,93343.00000,63,56.2,dB
65,93344.00000,64,55.2,dB
66,93345.00000,65,54.1,dB
67,93346.00000,66,54,dB
68,93347.00000,67,52.7,dB
69,93348.00000,68,54,dB
70,93349.00000,69,53.4,dB
71,93350.00000,70,52.5,dB
72,93351.00000,71,56,dB
73,93352.00000,72,56.3,dB
74,93353.00000,73,57.8,dB
75,93354.00000,74,67.4,dB
76,93355.00000,75,62,dB
77,93356.00000,76,60.4,dB
78,93357.00000,77,59.8,dB
79,93358.00000,78,55.1,dB
80,93359.00000,79,57.1,dB
