Code,Aircraft,Engine,Power,Units
M00101,F100-PW-100,F100-PW-100,92.0,% RPM
M00101,F100-PW-100,F100-PW-100,92.0,% RPM
M00101,F100-PW-100,F100-PW-100,80.0,% RPM
M00102,J75-P-17,J75-P-17,103.0,% RPM
M00102,J75-P-17,J75-P-17,103.0,% RPM
M00102,J75-P-17,J75-P-17,90.0,% RPM
M00103,J75-P-19,J75-P-19,103.0,% RPM
M00103,J75-P-19,J75-P-19,103.0,% RPM
M00103,J75-P-19,J75-P-19,91.0,% RPM
M00104,J79-GE-15,J79-GE-15,100.0,% RPM
M00104,J79-GE-15,J79-GE-15,85.0,% RPM
M00105,TF30-P-100,TF30-P-100,96.0,% RPM
M00105,TF30-P-100,TF30-P-100,96.0,% RPM
M00105,TF30-P-100,TF30-P-100,85.0,% RPM
M00106,TF41-A-1,TF41-A-1,99.0,% RPM
M00106,TF41-A-1,TF41-A-1,95.0,% RPM
M00106,TF41-A-1,TF41-A-1,85.0,% RPM
M00107,GRADE I,"",100.0,% RPM
M00108,GRADE II,"",100.0,% RPM
M00109,GRADE III,"",100.0,% RPM
M00110,TEST CELL,"",100.0,% RPM
M00110,TEST CELL,"",100.0,% RPM
M00110,TEST CELL,"",70.0,% RPM
M00110,TEST CELL,"",80.0,% RPM
M00111,TEST STAND,"",20000.0,LBS
M00111,TEST STAND,"",4000.0,LBS
M00111,TEST STAND,"",500.0,LBS
M00201,A-3,J57-P-10,97.0,% RPM
M00201,A-3,J57-P-10,53.0,% RPM
M00201,A-3,J57-P-10,70.0,% RPM
M00301,A-4C,J52-P-8B,99.0,% NC
M00301,A-4C,J52-P-8B,57.0,% NC
M00301,A-4C,J52-P-8B,75.0,% NC
M00401,A-5C,J79-GE-8C,100.0,% RPM
M00401,A-5C,J79-GE-8C,100.0,% RPM
M00401,A-5C,J79-GE-8C,65.0,% RPM
M00401,A-5C,J79-GE-8C,80.0,% RPM
M00501,A-6A,J52-P-8A,99.0,% RPM
M00501,A-6A,J52-P-8A,60.0,% RPM
M00501,A-6A,J52-P-8A,75.0,% RPM
M00601,A-7E,TF41-A-2,94.0,% NC
M00601,A-7E,TF41-A-2,55.0,% NC
M00601,A-7E,TF41-A-2,85.0,% NC
M00601,A-7E,TF41-A-2,70.0,% NC
M00601,A-7E,TF41-A-2,99.5,% NC
M00602,A-7,TF41-A-1,96.0,% RPM
M00602,A-7,TF41-A-1,55.0,% RPM
M00602,A-7,TF41-A-1,85.0,% RPM
M00602,A-7,TF41-A-1,70.0,% RPM
M00603,A-7,TF41-A-1,97.7,% RPM
M00603,A-7,TF41-A-1,70.0,% RPM
M00603,A-7,TF41-A-1,54.4,% RPM
M00603,A-7,TF41-A-1,85.6,% RPM
M00701,AV-8A,F402-RR-401,27.0,% RPM
M00701,AV-8A,F402-RR-401,55.0,% RPM
M00701,AV-8A,F402-RR-401,98.0,% RPM
M00702,AV-8B,F402-RR-405,95.0,% RPM
M00702,AV-8B,F402-RR-405,27.0,% RPM
M00702,AV-8B,F402-RR-405,85.0,% RPM
M00702,AV-8B,F402-RR-405,70.0,% RPM
M00702,AV-8B,F402-RR-405,55.0,% RPM
M00703,AV-8B,F402-RR-408,29.0,% RPM
M00703,AV-8B,F402-RR-408,40.0,% RPM
M00703,AV-8B,F402-RR-408,60.0,% RPM
M00703,AV-8B,F402-RR-408,114.0,% RPM
M00703,AV-8B,F402-RR-408,107.0,% RPM
M00703,AV-8B,F402-RR-408,112.0,% RPM
M00901,A-10A,TF34-GE-100,5475.0,NF
M00901,A-10A,TF34-GE-100,1778.0,NF
M00901,A-10A,TF34-GE-100,5970.0,NF
M01001,A-37,J85-GE-17A,100.0,% RPM
M01001,A-37,J85-GE-17A,46.0,% RPM
M01001,A-37,J85-GE-17A,85.0,% RPM
M01101,C-123K,"R-2800-99W, J85-17",2200.0,RPM
M01101,C-123K,"R-2800-99W, J85-17",2700.0,RPM
M01101,C-123K,"R-2800-99W, J85-17",650.0,RPM
M01101,C-123K,"R-2800-99W, J85-17",1000.0,RPM
M01101,C-123K,"R-2800-99W, J85-17",2700.0,RPM
M01201,B-1,F101-GE-100,97.6,% RPM
M01201,B-1,F101-GE-100,97.2,% RPM
M01201,B-1,F101-GE-100,70.5,% RPM
M01301,B-2A,F118-GE-100,87.0,PLA
M01301,B-2A,F118-GE-100,44.0,PLA
M01301,B-2A,F118-GE-100,20.0,PLA
M01301,B-2A,F118-GE-100,31.0,PLA
M01401,B-52B&D&E,J57-P-19W,61.0,% RPM
M01401,B-52B&D&E,J57-P-19W,90.0,% RPM
M01401,B-52B&D&E,J57-P-19W,80.0,% RPM
M01401,B-52B&D&E,J57-P-19W,94.0,% RPM
M01402,B-52G,J57-P-43WA,61.0,% RPM
M01402,B-52G,J57-P-43WA,90.0,% RPM
M01402,B-52G,J57-P-43WA,80.0,% RPM
M01402,B-52G,J57-P-43WA,94.0,% RPM
M01403,B-52H,TF33-P-3,1000.0,LBS/HR
M01403,B-52H,TF33-P-3,5000.0,LBS/HR
M01403,B-52H,TF33-P-3,1900.0,LBS/HR
M01403,B-52H,TF33-P-3,8700.0,LBS/HR
M01403,B-52H,TF33-P-3,7600.0,LBS/HR
M01501,B-57E&G,J65-W-5/J65-W-5D,101.0,% RPM
M01501,B-57E&G,J65-W-5/J65-W-5D,50.0,% RPM
M01501,B-57E&G,J65-W-5/J65-W-5D,85.0,% RPM
M01601,C-5A,TF39-GE-1A,1.6,EPR
M01601,C-5A,TF39-GE-1A,1.1,EPR
M01601,C-5A,TF39-GE-1A,3.5,EPR
M01601,C-5A,TF39-GE-1A,2.5,EPR
M01601,C-5A,TF39-GE-1A,4.4,EPR
M01602,C-5MX,CF6-80C2L1F,102.,% N1
M01701,C-7A,R-2000-7M2,2450.0,RPM
