aircraft,aircraft_code,engine,power_code,description,power_1,unit_1,power_2,unit_2,power_3,unit_3,interpolation,operation_type
F100-PW-100,M00101,F100-PW-100,RM0010103F,MAX PWR A/B,92.00,% RPM,2.40,EPR,41593.00,LBS/HR,FIXED,STATIC
F100-PW-100,M00101,F100-PW-100,RM0010104V,MIL PWR,92.00,% RPM,2.40,EPR,8582.00,LBS/HR,VARIABLE,STATIC
F100-PW-100,M00101,F100-PW-100,RM0010119V,80 % RPM ENG RUNUP,80.00,% RPM,1.07,EPR,2774.00,LBS/HR,VARIABLE,STATIC
J75-P-17,M00102,J75-P-17,RM0010203F,MAX PWR A/B,103.00,% RPM,19825.00,LBS,"","",FIXED,STATIC
J75-P-17,M00102,J75-P-17,RM0010204V,MIL PWR,103.00,% RPM,13260.00,LBS,"","",VARIABLE,STATIC
J75-P-17,M00102,J75-P-17,RM0010217V,90 % RPM ENG RUNUP,90.00,% RPM,4630.00,LBS,"","",VARIABLE,STATIC
J75-P-19,M00103,J75-P-19,RM0010303F,MAX PWR A/B,103.00,% RPM,21753.00,LBS,"","",FIXED,STATIC
J75-P-19,M00103,J75-P-19,RM0010304V,MIL PWR,103.00,% RPM,14550.00,LBS,"","",VARIABLE,STATIC
J75-P-19,M00103,J75-P-19,RM0010317V,90 % RPM ENG RUNUP,91.00,% RPM,6446.00,LBS,"","",VARIABLE,STATIC
J79-GE-15,M00104,J79-GE-15,RM0010404V,MIL PWR,100.00,% RPM,9720.00,LBS,8349.00,LBS/HR,VARIABLE,STATIC
J79-GE-15,M00104,J79-GE-15,RM0010418V,85 % RPM ENG RUNUP,85.00,% RPM,3514.00,LBS,2980.00,LBS/HR,VARIABLE,STATIC
TF30-P-100,M00105,TF30-P-100,RM0010503F,MAX PWR A/B,96.00,% RPM,"","","","",FIXED,STATIC
TF30-P-100,M00105,TF30-P-100,RM0010504V,MIL PWR,96.00,% RPM,"","","","",VARIABLE,STATIC
TF30-P-100,M00105,TF30-P-100,RM0010518V,85 % RPM ENG RUNUP,85.00,% RPM,"","","","",VARIABLE,STATIC
TF41-A-1,M00106,TF41-A-1,RM0010604V,MIL PWR,99.00,% RPM,8903.00,LBS/HR,12854.00,LBS,VARIABLE,STATIC
TF41-A-1,M00106,TF41-A-1,RM0010605V,MAX CONT PWR,95.00,% RPM,7409.00,LBS/HR,10992.00,LBS,VARIABLE,STATIC
TF41-A-1,M00106,TF41-A-1,RM0010618V,85 % RPM ENG RUNUP,85.00,% RPM,3401.00,LBS/HR,5118.00,LBS,VARIABLE,STATIC
GRADE I,M00107,"",RM0010703F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
GRADE II,M00108,"",RM0010803F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
GRADE III,M00109,"",RM0010903F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
TEST CELL,M00110,"",RM0011003F,MAX PWR A/B,100.00,% RPM,"","","","",FIXED,STATIC
TEST CELL,M00110,"",RM0011005V,MAX CONT PWR,100.00,% RPM,"","","","",VARIABLE,STATIC
TEST CELL,M00110,"",RM0011013V,IDLE,70.00,% RPM,"","","","",VARIABLE,STATIC
TEST CELL,M00110,"",RM0011019V,80 % RPM ENG RUNUP,80.00,% RPM,"","","","",VARIABLE,STATIC
TEST STAND,M00111,"",RM0011104V,20000 LBS THRUST,20000.00,LBS,"","","","",VARIABLE,STATIC
TEST STAND,M00111,"",RM0011109V,4000 LBS THRUST,4000.00,LBS,"","","","",VARIABLE,STATIC
TEST STAND,M00111,"",RM0011113V,IDLE,500.00,LBS,"","","","",VARIABLE,STATIC
A-3,M00201,J57-P-10,RM0020104V,MIL PWR,97.00,% RPM,"","","","",VARIABLE,STATIC
A-3,M00201,J57-P-10,RM0020113V,IDLE,53.00,% RPM,"","","","",VARIABLE,STATIC
A-3,M00201,J57-P-10,RM0020121V,70 % RPM ENG RUNUP,70.00,% RPM,"","","","",VARIABLE,STATIC
A-4C,M00301,J52-P-8B,RM0030104V,MIL PWR,99.00,% NC,650.00,C EGT,8000.00,LBS/HR,VARIABLE,STATIC
A-4C,M00301,J52-P-8B,RM0030113V,IDLE,57.00,% NC,250.00,C EGT,800.00,LBS/HR,VARIABLE,STATIC
A-4C,M00301,J52-P-8B,RM0030120V,75 % RPM ENG RUNUP,75.00,% NC,300.00,C EGT,1500.00,LBS/HR,VARIABLE,STATIC
